,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port elizabeth,1,US,1525179360,36,39.31,-74.98,60.8,9.17
1,vardo,1,US,1525179300,33,39.62,-77.74,64.4,5.82
2,garango,8,BF,1525180840,45,11.8,-0.55,100.99,5.95
3,kapaa,1,US,1525179360,88,22.08,-159.32,64.4,8.05
4,punta arenas,0,CL,1525179600,98,-53.16,-70.91,32.0,11.41
5,rikitea,0,PF,1525180841,100,-23.12,-134.97,77.41,2.71
6,hobart,0,AU,1525177800,62,-42.88,147.33,57.2,11.41
7,cabo san lucas,5,MX,1525178640,40,22.89,-109.91,71.6,6.93
8,jamestown,48,AU,1525180842,50,-33.21,138.6,49.06,4.72
9,longyearbyen,75,NO,1525179000,92,78.22,15.63,32.0,2.24
10,tiksi,88,RU,1525180842,94,71.64,128.87,37.54,19.37
11,kloulklubed,75,PW,1525179000,94,7.04,134.26,82.4,6.62
12,rudnik,40,RS,1525179600,34,44.14,20.5,82.4,4.7
13,khatanga,80,RU,1525180843,91,71.98,102.47,16.39,10.76
14,cape town,0,ZA,1525176000,27,-33.93,18.42,78.8,2.24
15,albany,75,US,1525179900,81,42.65,-73.75,48.2,5.82
16,cloquet,1,US,1525180620,55,46.72,-92.46,62.6,13.87
17,denpasar,0,ID,1525180588,78,-8.65,115.22,76.06,2.82
18,palestine,90,US,1525178100,88,31.76,-95.63,68.0,6.93
19,galle,90,US,1525179060,94,29.74,-97.91,71.6,10.29
20,cidreira,56,BR,1525180844,92,-30.17,-50.22,71.56,5.73
21,thompson,20,CA,1525176000,68,55.74,-97.86,28.4,3.36
22,sarakhs,0,TM,1525176000,26,36.54,61.16,78.8,9.17
23,busselton,56,AU,1525180845,100,-33.64,115.35,61.75,13.44
24,ushuaia,0,AR,1525179600,100,-54.81,-68.31,39.2,3.36
25,norman wells,75,CA,1525176000,69,65.28,-126.83,33.8,3.36
26,sao filipe,0,CV,1525180845,90,14.9,-24.5,72.91,21.94
27,tuktoyaktuk,68,CA,1525176000,95,69.44,-133.03,32.0,26.4
28,mataura,80,NZ,1525180846,86,-46.19,168.86,42.4,5.39
29,kutum,0,SD,1525180846,13,14.2,24.66,97.39,5.61
30,nyurba,8,RU,1525180846,42,63.29,118.35,51.31,9.53
31,nanortalik,80,GL,1525180847,96,60.14,-45.24,31.06,20.04
32,strezhevoy,0,RU,1525177800,67,60.73,77.6,32.0,8.95
33,souillac,0,FR,1525179600,72,45.6,-0.6,59.0,10.29
34,gamba,92,CN,1525180847,98,28.28,88.52,27.28,2.15
35,puerto ayora,20,EC,1525179600,88,-0.74,-90.35,77.0,8.05
36,saint-philippe,90,CA,1525178100,100,45.36,-73.48,48.2,4.7
37,cocobeach,20,GA,1525176000,74,1.01,9.58,86.0,4.7
38,ancud,92,CL,1525180848,96,-41.87,-73.83,51.13,3.94
39,atuona,88,PF,1525180848,100,-9.8,-139.03,80.83,16.69
40,westport,90,IE,1525179600,93,53.8,-9.52,48.2,13.87
41,gongzhuling,44,CN,1525180849,35,43.5,124.81,57.43,9.64
42,luderitz,0,NA,1525180849,94,-26.65,15.16,67.33,5.28
43,saldanha,68,PT,1525180849,67,41.42,-6.55,53.56,4.5
44,peniche,20,PT,1525177800,48,39.36,-9.38,60.8,13.87
45,ribeira grande,40,PT,1525179600,72,38.52,-28.7,66.2,19.46
46,thurso,0,GB,1525179000,76,58.6,-3.52,50.0,9.17
47,taltal,0,CL,1525180850,94,-25.41,-70.49,51.49,1.25
